Epsilon,Label,NumStableReLU,NumUniqueAP,Alpha Pattern Cover
0.005,0,144,144,0.9382069897011649
0.005,1,177,177,0.94719667754375560
0.005,2,102,102,0.9377307821416583
0.005,3,135,135,0.9190996574783885
0.005,4,152,152,0.9354673057172201
0.005,5,111,111,0.9304556354916067
0.005,6,150,150,0.941027374112876
0.005,7,135,135,0.9343974461292897
0.005,8,183,183,0.9136899675269184
0.005,9,151,151,0.933602286098503906436152003
0.0005,5,54,24,0.9948349013097214
0.0005,6,95,22,0.9957755998648192
0.0005,7,70,26,0.9955307262569832
0.0005,8,94,23,0.9955563151598017
0.0005,9,70,19,0.9969742813918305
0.001,0,90,43,0.9885193314198886
0.001,1,136,63,0.9870958172649066
0.001,2,58,31,0.9906008727760993
0.001,3,86,43,0.987440874245637
0.001,4,102,50,0.9864772338240329
0.001,5,65,39,0.98985427042981
0.001,6,107,38,0.9898614396755661
0.001,7,78,35,0.9910614525139665
0.001,8,118,52,0.9851307468808751
0.001,9,94,49,0.987056648176164
0.005,0,144,202,0.9382069897011649
0.005,1,177,170,0.9471966775437556
0.005,2,102,171,0.9377307821416583
0.005,3,135,226,0.9190996574783885
0.005,4,152,179,0.9354673057172201
0.005,5,111,164,0.9304556354916067
0.005,6,150,178,0.941027374112876
0.005,7,135,221,0.9343974461292897
0.005,8,183,258,0.9136899675269184
0.005,9,151,219,0.9336022860985039
